Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,company_age,python_jd,r,aws,spark,excel
Product Engineer,$46K - $82K (Glassdoor est.),Product Engineer,"About Us
Founded in 1973, O’Neil Digital Solutions (ODS) is a leading IT consulting firm specializing in the optimization of complex end-to-end business process systems for a multitude of business verticals including Financial Services, Digital Media, Healthcare, and Transportation industries. ODS provides high-touch bespoke software engineering, systems integration, and infrastructure management services to clients of all sizes and industries. From large scale mass communication projects to highly secure and confidential data analytics using Big Data frameworks like Hadoop and AWS Redshift, ODS has a broad set of proven technical capabilities that help companies make complex digital transformations. ODS offers state of the art publishing solutions through our customer-centric applications and services include electronic document delivery, web applications, high-speed digital printing (color and black & white), automated composition, offset printing, warehousing and fulfillment services. ODS is headquartered in Los Angeles, CA and also has offices/plants in Texas and North Carolina centrally located to serve clients across the country.",Data Analysis Inc.,-1.0,California,-1,-1,-1,-1,-1,-1,46,82,64.0,California,-1,0,0,1,0,0
Data Engineer - Loan IQ Experience,$46K - $82K (Glassdoor est.),Data Engineer,"Req ID: 113106

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Loan IQ Data Architect / Engineer to join our team in Dallas, Texas (US-TX), United States (US).

The Loan IQ Data Architect will be responsible for optimizing current domain capabilities, developing the roadmap for the strategic evolution of the product & maximizing value for operations & market partners. They will combine years of proven expertise to create innovative technology through solid engineering practices. With deep knowledge of design, analytics, development, coding, testing and application programming, the Loan IQ Data Architect will satisfy both business and functional requirements. The Loan IQ Data Architect will encompass loan origination process and fixed income products like treasury (bonds, notes, and bill), mortgaged backed securities (MBS), municipal bonds, corporate bonds, junk bonds and convertible bonds. Will ensure completeness, correctness and consistency of data and data structure identifying, tracking, and resolving basic queries. The Loan IQ Data Architect will be hired into this role with a good understanding of SDLC process and will be involved in end to end implementations of DWH and reporting solutions using Tableau, SSRS, OBIEE, Informatica, SSIS and Data Stage.

Basic Qualifications:






Preferences:


#LI-NAM

#BConsult



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Dallas

Fort Worth


Database, Consulting, Developer, Management Consulting, SQL, Technology, Management",NTT DATA Corporation,3.7,"Atlanta, GA",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, GA,54,0,0,0,0,0
Field Service Technician,$46K - $82K (Glassdoor est.),Field Service Technician,"Req ID: 111580

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Field Service Technician to join our team in Chicago, Illinois (US-IL), United States (US).

Job Responsibilities Include:
Tier 1 Support of all Customer Inquiries for assistance. via Telephone, Web, Walk-In or e-Mail
Being prepared to professionally assist customer support questions or learning where to route issues for other Service Providers







INDPUBLIC

Must be US Citizen and should have ability to get Security Clearance



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Chicago


Technician, Consulting, Cloud, Testing, Technology",NTT DATA Corporation,3.7,"Chicago, IL",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, IL,54,0,0,0,0,0
Financial Data Engineer - Loan IQ Experience,$46K - $82K (Glassdoor est.),Data Engineer,"Req ID: 113106

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Loan IQ Data Architect / Engineer to join our team in Dallas, Texas (US-TX), United States (US).

The Loan IQ Data Architect will be responsible for optimizing current domain capabilities, developing the roadmap for the strategic evolution of the product & maximizing value for operations & market partners. They will combine years of proven expertise to create innovative technology through solid engineering practices. With deep knowledge of design, analytics, development, coding, testing and application programming, the Loan IQ Data Architect will satisfy both business and functional requirements. The Loan IQ Data Architect will encompass loan origination process and fixed income products like treasury (bonds, notes, and bill), mortgaged backed securities (MBS), municipal bonds, corporate bonds, junk bonds and convertible bonds. Will ensure completeness, correctness and consistency of data and data structure identifying, tracking, and resolving basic queries. The Loan IQ Data Architect will be hired into this role with a good understanding of SDLC process and will be involved in end to end implementations of DWH and reporting solutions using Tableau, SSRS, OBIEE, Informatica, SSIS and Data Stage.

Basic Qualifications:






Preferences:


#LI-NAM

#BConsult



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Dallas

Fort Worth


Database, Consulting, Developer, Management Consulting, SQL, Technology, Management",NTT DATA Corporation,3.7,"Atlanta, GA",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, GA,54,0,0,0,0,0
Data Center Expansion Manager,$46K - $82K (Glassdoor est.),Pr Manager,"Bachelor’s Degree in Business, Finance, Economics, Engineering, or related fields.
7+ years of experience in business development, real-estate transactions, or contract negotiations in a technical industry (such as Infrastructure as a Service, Aersospace/Automotive, or other highly engineered and complex industries)
Transaction, project or program management experience.
Do you have the Real Estate and business background, negotiation skills, financial expertise and technical background necessary to grow Amazon’s technology platform? As a Technical Business Developer within AWS Infrastructure, you will have the opportunity to help shape and execute on strategies to expand our Data Center portfolio and related infrastructure. You will help develop where we go, how we get there, and negotiate the contracts needed to provide best in market deliverables. The ideal candidate will possess a real estate, business, financial, and engineering background that enable them to drive a data center transaction, and interact with business leaders at all levels to develop the best strategic alternatives and effectively drive those strategies to conclusion. They should have a demonstrated ability to negotiate multimillion dollar contracts from a business and technical perspective. They should also have a demonstrated ability to think strategically about business, market, and technical challenges with the ability to build and convey compelling value strategy plans. The ideal candidate will possess the necessary business experience to drive engagement at CXO/VP level, along with a deep technical understanding of data center and network infrastructure. They should have a demonstrated ability to think strategically about business, product, and technical challenges. A compelling communicator, they will be comfortable articulating complex technical and commercial structures across the AWS business. They will be a strategic thinker with highly developed analytical and modeling skills, they will have a proven record of developing long-term infrastructure plans to support dynamic, rapidly scaling businesses.


Amazon is a committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","Amazon Data Services, Inc.",3.8,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),46,82,64.0, WA,27,0,0,1,0,0
Accounts Receivable Specialist,$46K - $82K (Glassdoor est.),Accounts Receivable Specialist,"IDRs largest client is seeking an Accounts Receivable Specialist to join their team!
***The expectation is that this candidate should be able to come onsite to Alpharetta once COVID restrictions have been lifted
Responsibilities of the Accounts Receivable Specialist:
Resolve issues and variances in the General Ledger.
Review collections and report on all Accounts Receivable related accounts.
Prepare and publish monthly reports.
Assist with special financial projects as needed.
Effectively communicate with staff members on findings.",Internal Data Resources,4.1,Remote,201 to 500 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),46,82,64.0,Remote,23,0,0,0,0,0
Customer Service Representative,$46K - $82K (Glassdoor est.),Customer Service Representative,"Req ID: 4489

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company's growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Customer Service Representative to join our team in Lincoln, Nebraska (US-NE)

In these roles you will be responsible for:
Providing front-line phone customer service to policyholders, beneficiaries, agents, and internal customers.

Required Skills for this role include:

#INDBPO

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.



NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 100,000+ professionals in more than 50 countries, and NTT Group, a partner to 85 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the ""Company"") is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.

Lincoln


Clerical, Consulting, Cloud, Administrative, Technology",NTT DATA Corporation,3.7,"Lincoln, NE",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, NE,54,0,0,1,0,0
Vendor Marketing Manager II - Cisco,$46K - $82K (Glassdoor est.),Marketing Manager,"The vendor marketing manager is an integral role in the overall development of the go-to-market for the Cisco brand. Working closely with our vendor business team, the vendor marketing manager will be responsible for the development, launch and monitoring of effective marketing strategies and programs that will support our reputation and growth within the channel.
Collaborates with management to define and develop marketing strategies to drive profitable growth;. Identifies, establishes and maintains relationships with brand partners, third party vendors, etc. to leverage current offerings, opportunities and successes. Increases agreed upon growth goals, drives demand generation and expands market share by identifying, planning and executing the activities required to ensure successful achievement of marketing business objectives. Plan and implement marketing strategy across all channels (web, content, social, email, field). Markets products/brands within budget to obtain maximum profitability. Evaluates and adjusts strategies to respond to changing and/or competitive markets. Such activities may include the following as well as other duties as assigned",Tech Data Corporation,3.7,"Tempe, AZ",5001 to 10000 Employees,1974,Company - Public,Wholesale,Business Services,$10+ billion (USD),46,82,64.0, AZ,47,0,0,0,0,0
Recruiter,$46K - $82K (Glassdoor est.),Recruiter,"Location: San Francisco, CA
Expected Pay Rate: $50.00 - $75.00 per hour
Schedule: Monday - Friday, 40 hours per week
Assignment Length: 4 month contract
Job Description
HireArt is helping a next-generation data lake engine find a Recruiter to perform full life-cycle recruiting from sourcing to closing. The ideal candidate will have experience as a technical or sales recruiter in either a fast-paced startup environment or an at-scale tech company.
This is a full-time (40 hours per week), 4-month contract position and will be fully remote.",A Next-Generation Data Lake Engine,-1.0,"San Francisco, CA",-1,-1,-1,-1,-1,-1,46,82,64.0, CA,-1,0,0,0,0,0
"Strategist, Marketing",$46K - $82K (Glassdoor est.),Strategist,"It's fun to work in a company where people truly BELIEVE in what they're doing !
Job Summary
The Marketing Strategy group is responsible for the development of programs that allow brands and ADS to reward customer behavior through the development of Loyalty and Value Proposition programs. This includes customer research, thought leadership, and project management with our brand and internal partners from inception to completion of each program.

Bachelor’s Degree (Required)
Five or more years
Business Strategies, Client Management, Credit Card Marketing, Emerging Payments, Finance, Financial Acumen, Marketing, Payments Industry, Relationship Management
Marketing


Regular",Alliance Data,3.3,"Columbus, OH",10000+ Employees,1996,Company - Public,Advertising & Marketing,Business Services,$5 to $10 billion (USD),46,82,64.0, OH,25,0,0,0,0,0
Experienced Flexcube/Loan IQ SME,$46K - $82K (Glassdoor est.),Subject Matter Expert,"Req ID: 113108

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Flexcube SME with Loan IQ expertise to join our team in Dallas, Texas (US-TX), United States (US).

The Flexcube & Loan IQ Subject Matter Expert (SME) will support projects/programs through analysis, design, testing, migration, and implementation. Provide Flexcube SME knowledge, functional system expertise and support to development resources and users. Support the conversion mapping from Flexcube to build the required extracts. Support business/Operations/Tech in analyzing the various feeds currently generated in Flex Loans. Provide various data requests by understanding the requirements and building the required queries to generate reports in a timely manner. The Flexcube & Loan IQ SME will ensure the process outputs needed by the project team are created in a timely fashion including business and functional requirements, use cases, flow diagrams, and etc.

Basic Qualifications:






Preferences:


#LI-NAM

#BConsult



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Dallas

Fort Worth


Consulting, Management Consulting, Technology, Management",NTT DATA Corporation,3.7,"Atlanta, GA",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, GA,54,0,0,0,0,0
Customer Marketing Manager,$46K - $82K (Glassdoor est.),Marketing Manager,"At PitchBook we work to provide global professionals with comprehensive data on the entire venture capital, private equity and M&A landscape so they can discover and execute opportunities with confidence. We credit our success and rapid growth to our cutting-edge products, customer centered attitude and ability to embrace and drive change.

In just over a decade, PitchBook has reached over 1,300 global employees with offices worldwide, and we’re not slowing down! Consistently recognized as a Best Place to Work, our culture is at the heart of our success and is driven by excellence, inclusion, and fun. At PitchBook we’re committed to fostering an open and collaborative work environment.

About the Role:

The PitchBook Marketing team is looking for a forward-thinking, creative, and strategic Customer Marketing Manager to support our Customer Success team and expand our client base through subscription upgrades, new contracts and restarting prior clients. The person who will thrive in this role will seek a deep understanding of our customers, can identify the ideal targets for generating additional revenue and will shape resonant messages. We are looking for a candidate eager and equipped to design a comprehensive marketing plan specific to our existing accounts.

This person will drive key marketing activities that originate in saving time for customers, partnering with them in achieving their business goals and ensuring they have the information they need to win and invest with confidence. This knowledge will result in effective, targeted campaigns to compel clients to stay and grow with PitchBook. This role is highly collaborative and will interface with many departments at PitchBook, including Product Marketing Managers, Campaign Managers, marketing creative teams, Product and Institutional Analyst teams, and our CS team members to engage clients throughout their lifecycle, emphasizing value in our product and service offering and deepen relationships with accounts.

We are in search of a customer champion who is relentless in pursuing the most effective marketing programs for expanding our existing user base and exhibiting curiosity, flexibility in applying a variety of tactics with constant attentiveness to strategic goals.

The Marketing team at PitchBook is critical to fueling the company’s growth by utilizing a variety of strategies to support our Sales and Customer Success departments grow and retain our client base. The Marketing department is responsible for all demand generation efforts by executing engaging campaigns, effective product marketing strategies, and attending client and trade-show events. The Marketing team is also responsible for promoting the PitchBook brand and managing internal communications

If you are ready to start the conversation about how you might contribute to all the happenings at PitchBook, submit your resume today! PitchBook appreciates and respects diversity, and as such, we are an equal opportunity employer.

#LI-AB1","PitchBook Data, Inc.",4.3,"Seattle, WA",1001 to 5000 Employees,2007,Company - Public,Venture Capital & Private Equity,Finance,$100 to $500 million (USD),46,82,64.0, WA,14,0,0,0,0,1
Flexcube/Loan IQ Subject Matter Expert,$46K - $82K (Glassdoor est.),Subject Matter Expert,"Req ID: 113108

NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.

We are currently seeking a Flexcube SME with Loan IQ expertise to join our team in Dallas, Texas (US-TX), United States (US).

The Flexcube & Loan IQ Subject Matter Expert (SME) will support projects/programs through analysis, design, testing, migration, and implementation. Provide Flexcube SME knowledge, functional system expertise and support to development resources and users. Support the conversion mapping from Flexcube to build the required extracts. Support business/Operations/Tech in analyzing the various feeds currently generated in Flex Loans. Provide various data requests by understanding the requirements and building the required queries to generate reports in a timely manner. The Flexcube & Loan IQ SME will ensure the process outputs needed by the project team are created in a timely fashion including business and functional requirements, use cases, flow diagrams, and etc.

Basic Qualifications:






Preferences:


#LI-NAM

#BConsult



NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.



Dallas

Fort Worth


Consulting, Management Consulting, Technology, Management",NTT DATA Corporation,3.7,"Atlanta, GA",10000+ Employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),46,82,64.0, GA,54,0,0,0,0,0
Market Research Intern,$46K - $82K (Glassdoor est.),Market Researcher,"Overview:

At IDC, we truly believe our people are our biggest asset, and we take the time to invest in their career path and ongoing professional development. Launch your career with the world's most recognized leader in market research and advisory services, and join a dynamic environment where your input is expected, appreciated and rewarded.

IDCs Research Divisions are seeking remote, paid summer interns (10 week, 30 hour/week assignments) who will participate in market research activities that support our research agenda. Candidates who possess research, writing and data analysis skills are desired.
This is an exciting opportunity to develop your career, learning from the industrys sharpest and most forward thinking analysts!
Responsibilities:
Qualifications:","International Data Group, Inc.",3.3,Remote,10000+ Employees,1964,Company - Private,Publishing,Media,$2 to $5 billion (USD),46,82,64.0,Remote,57,0,0,0,0,0
Next Gen Solutions Marketing Manager (global),$46K - $82K (Glassdoor est.),Marketing Manager,"Job Purpose:
Cultural Competency Requirements:
Within Tech Data diversity is one of our fundamental shared values. We are a multi-cultural environment and we pride ourselves on being a welcoming place of work where we celebrate inclusion and champion people from a multitude of backgrounds.
Join our team to connect the world with the power of technology!
Tech Data is an equal opportunity organization. We recruit, employ, train, compensate, and promote without regard to race, religion, creed, color, national origin, age, gender, sexual orientation, gender identity, marital status, disability, veteran status, or any other basis protected by applicable federal, state or local law.",Tech Data Corporation,3.7,"Clearwater, FL",5001 to 10000 Employees,1974,Company - Public,Wholesale,Business Services,$10+ billion (USD),46,82,64.0, FL,47,0,0,0,0,0
Sales & Marketing Partner,$46K - $82K (Glassdoor est.),Sales And Marketing Manager,"General Summary:
The Sales & Marketing Partner is responsible for generating revenue from prospects and inactive customers through consultative selling, outstanding customer service practices, and for assisting customers with any problems that may occur during the order and delivery process. This position will also assist with growth and expansion revenue for customers.
Essential Job Functions:
Respond to incoming customer calls/interactions/chats.
Make outbounds to prospects (driven by marketing efforts), inactives and current customers.
Provide weekly/monthly pipeline and forecasts.",Data Axle,3.5,Remote,1001 to 5000 Employees,1972,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$100 to $500 million (USD),46,82,64.0,Remote,49,0,0,0,0,0
Employment Consultant,$27K - $43K (Glassdoor est.),Employment Specialist,"Employment Consultant
Job Tracking ID : 512181-762861
Job Level : Entry Level (less than 2 years)
Level of Education : BA/BS
Job Type : Full-Time/Regular
Date Updated : 03/11/2021
Salary : $35,000 year
Job Description","Educational Data Systems, Inc.",4.3,"York, PA",501 to 1000 Employees,1979,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,27,43,35.0, PA,42,0,0,0,0,0
Job Coach,$27K - $43K (Glassdoor est.),Coach,"Job Coach
Job Tracking ID : 512181-755190
Job Level : Mid Career (2+ years)
Level of Education : BA/BS
Job Type : Full-Time/Regular
Date Updated : 02/22/2021
Salary : $40,000 year
Job Description","Educational Data Systems, Inc.",4.3,"Allentown, PA",501 to 1000 Employees,1979,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,27,43,35.0, PA,42,0,0,0,0,0
Marketing Coordinator,$27K - $43K (Glassdoor est.),Marketing Coordinator,"Infutor is looking for a Marketing Coordinator to manage and execute marketing initiatives in collaboration with the SVP of Marketing and the Director of Marketing Operations. This is an opportunity to join a fast-paced technology environment and learn first-hand how to build and execute B2B marketing campaigns.

Responsibilities
Coordinate deployment of email marketing campaigns in Marketo
Copywriting and editing for email marketing campaigns, social media posts, and client communications and newsletters
Work cross-functionally with other departments and external agencies and vendors
Coordinate calls and set meeting agendas with external vendors and agency contacts
Track and assemble deliverables for paid media placements, trade shows, and other marketing initiatives",Infutor Data Solutions,4.2,"Chicago, IL",51 to 200 Employees,2003,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),27,43,35.0, IL,18,0,0,0,0,0
Web Developer,$27K - $43K (Glassdoor est.),Web Developer,"Job Description:

This position will support the Combined DNA System [CODIS] department. CODIS allows forensic laboratories to exchange and compare DNA profiles electronically, thereby linking serial crimes to each other to identify potential suspects by matching DNA from crime scenes to offenders.

Responsibilities:

· Work as part of a team to ensure website is well-structured and easy to use and navigate.

· Ensure all customer design requirements are met

· Ensure all necessary topics are covered, up-to-date and accurate to include web pages, images, videos, blog posts, guest articles, reviews and occasionally marketing materials.

· Manage content by editing the site through various toolsets, processes, and when necessary, manual coding.

· Take customer feedback and revise content accordingly.

· Test new features with functional or automated unit testing.

· Conduct innovation reviews to determine newest or emerging technologies that may be folded into design.

· Conduct content audits to identify gaps and redundancies in the site content.

· Create and implement content schedules for people to produce or update content on scheduled basis.

· Produce maps and visualizations of the site to help staff understand its structure.

· Update HTML, CSS, and JavaScript on the site as needed.

Required Skills:

· Bachelors in associated field

·

· Proficient with the following front-end technologies: HTML, CSS, & JavaScript

· A minimum of (2) two years of relevant experience.

· A minimum of (1) year of experience with front-end web development

· Familiarity with back-end technology

· Familiarity with an object-oriented language

Desired Skills:

· A Bachelors degree in IT, Computer Science, or a related field of study

· Familiar with Internet Information Services

· Familiar with Windows Server

· Familiar with Git or similar version control

· Familiar with virtual environments

· Relevant IT certifications (Certified Web Master, Certified Web Designer, etc)

Powered by JazzHR",Hybrid Data Security LLC,-1.0,"Stafford, VA",1 to 50 Employees,-1,Company - Private,Federal Agencies,Government,Less than $1 million (USD),27,43,35.0, VA,-1,0,0,0,0,0
Water Expansion Manager,$27K - $43K (Glassdoor est.),Pr Manager,"Bachelor’s Degree in Civil/Mechanical Engineering/Urban Planning or related field
8+ years’ work experience delivering water infrastructure and engineering solutions for capital-intensive projects
Analytical and commercial experience to review utility tariffs, water utility reliability and water supply contracts.
Experience cultivating strong relationships with external stakeholders including utility and government economic development agencies in different geographies.
Amazon is looking for a results-oriented individual to join the AWS water infrastructure team. In this role, you will provide water due diligence and infrastructure delivery support for global data center expansion projects. You will be responsible for executing multiple water projects across different geographies, conducting due diligence on reliability of utility water infrastructure, and evaluating cost and schedule to deliver water for cooling requirements in existing and new regions. You will develop metrics, communicate performance to technical teams and senior leadership, and be the subject matter expert for all issues pertaining to water infrastructure and risk analysis. This role will collaborate with internal and external stakeholders to deliver a sustainable and cost effective water supply to AWS’s data centers across the globe.

You will play a key role with due diligence and site selection efforts in existing and new regions by compiling and analyzing geographical location and specific prospective site information, including (i) permitting and land use data, (ii) data on water and wastewater availability and cost, (iii) reliable water supply and back up options and availability of alternate water sources.

The Water Infrastructure Expansion Manager will be responsible for the following:
Amazon is a committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.","Amazon Data Services, Inc.",3.8,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),27,43,35.0, WA,27,0,0,1,0,0
VP of Marketing - SF/Denver/location flexible,$27K - $43K (Glassdoor est.),Marketing Manager,"Are you a force multiplying marketer with an ear for cogent stories, an eye for differentiated design, and commitment to quickly going where the data leads you? Do you understand from experience how to deploy the full capabilities of a modern marketing org, but are still comfortable proofing and iterating with a small team of collaborators? Can you strategize with leadership and dig deep with customers to refine the theories before committing to activations? Are you eager to immerse yourself in the sales process, so you can give every seller the tools they need to succeed and help them close deals? Can you find the angles that connect your objectives to the news cycle, so everyone that matters trusts your brand? Are you ready to be the master communicator for a well-fueled rocket ship of a company, poised to change the way the industry sees and evaluates some of the most valuable data in the world?

As the VP of Marketing, you will develop the marketing strategy, hire and lead a team to grow Windfall’s business. You will also be responsible for our brand more broadly: defining our products and strengthening our identity as the leading contextual analytics platform powered by AI. Ultimately, you will be our guide and our voice as we enter our next chapter, powering not only the company’s growth, but enabling us to realize our mission: to empower data driven organizations to effectively identify, understand and engage affluent consumers with the industries most reliable and accurate data set.",Windfall Data,4.4,"San Francisco, CA",1 to 50 Employees,2016,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,27,43,35.0, CA,5,0,0,0,0,0
Market Development Representative,$27K - $43K (Glassdoor est.),Market Development Representative,"At PitchBook we work to provide global professionals with comprehensive data on the entire venture capital, private equity and M&A landscape so they can discover and execute opportunities with confidence. We credit our success and rapid growth to our cutting-edge products, customer centered attitude and ability to embrace and drive change.

In just over a decade, PitchBook has reached over 1,300 global employees with offices worldwide, and we’re not slowing down! Consistently recognized as a Best Place to Work, our culture is at the heart of our success and is driven by excellence, inclusion and fun. At PitchBook we’re committed to fostering an open and collaborative work environment.

About the Role:

""Customers are King!"" Each and every day the Customer Success Department works to ensure that our clients are maximizing the value they are receiving from PitchBook. Business development, onboarding, training, support, and renewals are handled by the Customer Success team. We believe in doing whatever it takes to make our customers successful and the CS team drives that success every day.

PitchBook is looking for a highly motivated and experienced Market Development Representative (MDR) with a passion for technology and an interest in the private equity and venture capital industry. Market Development Representatives are the first point of contact for the vast majority of expansion opportunities and continuously build their pipeline within the PitchBook client base.

As a Market Development Representative you will be responsible for identifying, qualifying, and scheduling product demonstrations between client non-users and PitchBook Account Managers. MDR's will work closely and collaborate with Account Managers to strategically target opportunities for growth within the PitchBook client base. The MDR will develop a deep knowledge of the accounts they support, their client’s industry/sector as well as their business needs to drive revenue growth for PitchBook.

If you are ready to start the conversation about how you might contribute to all the happenings at PitchBook, submit your resume today! PitchBook appreciates and respects diversity, and as such, we are an equal opportunity employer.

#LI-AK1","PitchBook Data, Inc.",4.3,"Seattle, WA",1001 to 5000 Employees,2007,Company - Public,Venture Capital & Private Equity,Finance,$100 to $500 million (USD),27,43,35.0, WA,14,0,0,0,0,1
Warehouse Associate II,$27K - $43K (Glassdoor est.),Warehouse Worker,"Performs to standards in multiple functions within the Logistics Center to include: shipping, receiving, and inventory control. Utilizes all types of material handling equipment.
We are currently hiring for the following shifts:
5:00am- 1:30pm
10am- 6:30pm
11:30am- 8:00pm
Essential Duties &; Responsibilities Required:
Performs to standards in multiple functions (i.e. productivity, performance, safety, quality, etc) (20%)",Tech Data Corp,3.7,"Fontana, CA",5001 to 10000 Employees,1974,Company - Public,Wholesale,Business Services,$10+ billion (USD),27,43,35.0, CA,47,0,0,0,0,0
